Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Degree,GAD_T,SWL_T,SPIN_T
42053.83694,1,0,1,1,1,0,0,1,2,3,4,2,3,3,1,6.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0,22,2,-1,4,14,13.0
42053.9069,3,3,3,3,0,0,0,2,1,3,1,1,1,1,0,6.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1,18,3,1,12,7,11.0
42053.94723,1,1,0,1,0,2,1,0,2,5,2,4,1,1,1,20.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,1,22,2,1,6,14,47.0
42054.27905,3,3,3,3,1,3,1,3,2,4,3,2,2,1,0,10.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,1.0,0,18,2,1,17,13,31.0
42054.42857,1,0,1,1,0,2,0,1,2,6,3,4,3,3,1,8.0,20.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0,20,2,-1,5,18,16.0
42054.552,0,0,0,0,1,0,0,0,5,5,5,6,3,3,1,25.0,25.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0,22,1,-1,1,24,15.0
42054.55528,1,3,2,2,2,1,0,1,2,4,3,4,3,3,1,16.0,5.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,0,22,2,1,11,16,45.0
42054.55688,0,0,0,0,0,1,0,0,5,5,6,5,2,4,1,20.0,5.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,0,27,2,1,1,23,15.0
42054.55709,0,0,0,0,0,0,0,0,6,6,6,5,6,1,1,50.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,20,0,1,0,29,5.0
42054.5575,2,2,3,1,1,3,1,2,2,3,1,1,1,4,1,12.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,0,18,2,1,13,8,50.0
42054.55799,3,3,3,3,2,0,1,3,2,2,1,1,1,4,1,28.0,20.0,0.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0,19,0,1,15,7,33.0
42054.55805,0,0,1,0,0,1,1,1,5,5,6,2,1,4,1,25.0,5.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0,19,2,1,3,19,21.0
42054.55854,0,0,0,0,0,0,0,0,6,6,6,6,6,4,1,42.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0,27,1,-1,0,30,15.0
42054.55863,0,3,3,3,1,2,3,3,1,4,1,1,1,4,1,20.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1,21,1,1,15,8,21.0
42054.55902,1,1,1,1,0,1,0,1,1,7,1,1,1,4,1,14.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,18,2,1,5,11,11.0
42054.56089,1,1,1,1,2,2,1,1,2,2,1,2,1,4,1,50.0,5.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,0,19,2,1,9,8,34.0
42054.56131,1,0,1,1,2,2,0,1,1,6,1,1,2,4,1,40.0,15.0,1.0,3.0,3.0,3.0,0.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,0,22,2,1,7,11,35.0
42054.56345,0,0,1,1,0,0,0,1,3,4,5,2,2,4,1,10.0,20.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1,20,1,1,2,16,25.0
42054.56366,0,0,0,1,0,1,0,0,6,6,6,6,6,3,1,10.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0,22,2,1,2,30,12.0
42054.56574,0,1,1,0,1,0,1,1,3,6,2,7,1,4,1,28.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,21,2,-1,4,19,4.0
42054.56593,1,1,1,1,1,3,0,1,1,2,1,3,1,4,1,30.0,20.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,2.0,0,20,0,-1,8,8,22.0
42054.56616,3,1,2,1,0,1,0,0,1,6,1,2,1,8,1,20.0,50.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0,23,2,1,8,11,33.0
42054.56629,3,3,3,1,1,3,3,2,1,1,1,1,1,4,1,28.0,8.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,0.0,4.0,3.0,0.0,3.0,1.0,1.0,2.0,3.0,0,21,1,1,17,5,34.0
